,Date,Team,Acquired,Relinquished,Notes
3269,1999-02-18,Jazz,, Thurl Bailey,placed on IR with sprained left quadricep / strained hip flexor (P)
3271,1999-02-18,Mavericks,, Erick Strickland,placed on IL with strained right groin
3272,1999-02-19,Blazers,, Bonzi Wells,placed on IL with sprained right ankle
3273,1999-02-19,Blazers,, John Crotty,placed on IL with bruised left quadricep
3274,1999-02-19,Blazers,, Nikita Morgunov,placed on IL with sore left knee
3275,1999-02-19,Bullets,, Tim Legler,placed on IL
3276,1999-02-19,Bulls,, Bill Wennington,placed on IL with strained lower back
3277,1999-02-19,Bulls,, Corey Benjamin,placed on IL with abdominal strain
3278,1999-02-19,Celtics,, Walter McCarty,placed on IL with sprained right big toe
3279,1999-02-19,Clippers,, Charles Smith (Cornelius),placed on IL with shin splints
3280,1999-02-19,Clippers,, Stojko Vrankovic,placed on IL with back spasms
3281,1999-02-19,Grizzlies,, J.R. Henderson,placed on IL with right knee tendinitis
3282,1999-02-19,Hornets,, Joe Wolf,placed on IR with subluxation of right elbow
3283,1999-02-19,Kings,, Oliver Miller,placed on IL with back spasms
3284,1999-02-19,Knicks,, Ben Davis,placed on IL with lower back pain
3285,1999-02-19,Lakers,, Tyronn Lue,placed on IL with back spasms
3286,1999-02-19,Nets,, Lucious Harris,placed on IR with bulding disc in back
3287,1999-02-19,Pacers,, Derrick McKey,placed on IR with quadricep tendinitis in right knee
3288,1999-02-19,Pacers,, Mark Pope,placed on IL with left Achilles tendinitis
3289,1999-02-19,Pistons,, Steve Henson,placed on IL with strained lower back
3290,1999-02-19,Raptors,, Paul Rogers,placed on IR with fractured right ankle
3291,1999-02-19,Raptors,, Sean Marks,placed on IL with strained lower back
3292,1999-02-19,Sonics,, Jelani McCoy,placed on IL with sore back
3293,1999-02-19,Spurs,, Brandon Williams (b. 1975-02-27),placed on IR with plantar facitis in right foot
3294,1999-02-19,Suns,, Gerald Brown,placed on IR with chondromalacia patella left knee
3295,1999-02-19,Suns,, Toby Bailey,placed on IL with patellar tendinitis in right knee
3296,1999-02-19,Timberwolves,, Paul Grant,placed on IL with right knee tendinitis
3297,1999-02-19,Timberwolves,, Reggie Jordan,placed on IL with lower back spasms
3298,1999-02-19,Warriors,, Tyrone Bogues / Muggsy Bogues,placed on IR with chicken pox
3301,1999-02-22,Hawks,, Steve Smith (Delano),placed on IL with a sprained right knee
3302,1999-02-23,Nets,, Rony Seikaly,placed on IL with sore left foot / plantar fasciatis in right foot
3303,1999-02-24,Lakers,, Ruben Patterson,placed on IL with right knee tendinitis
3305,1999-02-25,Nuggets,, Raef LaFrentz,placed on IL with torn ACL in left knee (out for season)
3306,1999-02-25,Rockets,, Stanley Roberts,placed on IL with strained right hamstring
3309,1999-02-26,Mavericks,, Cedric Ceballos,placed on IL with fractured right wrist
3310,1999-02-27,Bulls,, Cory Carr,placed on IL with strained lower back
3311,1999-02-27,Bulls,, Keith Booth,placed on IL with strained left quadricep
3314,1999-02-27,Clippers,, Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle
3315,1999-02-27,Clippers,, Michael Olowokandi,placed on IL with sprained left ankle
3320,1999-02-28,Rockets,, Eddie Johnson (Arnet),placed on IL with back spasms / strained lower back
3322,1999-03-01,Celtics,, Dwayne Schintzius,placed on IL with sore right knee
3324,1999-03-01,Sonics,, James Cotton,placed on IR with strained tendon in right leg
3326,1999-03-02,Clippers,, Stojko Vrankovic,placed on IL with lower back spasms
3329,1999-03-02,Rockets,, Antoine Carr,placed on IL with sprained right knee
3331,1999-03-02,Spurs,, Gerard King,placed on IR with cervical spasms
3333,1999-03-02,Suns,, Marko Milic,placed on IL with right knee tendinitis
3336,1999-03-03,Blazers,, Carlos Rogers,placed on IL with right knee tendinitis / bruised left quadriceps
3339,1999-03-04,Sonics,, Martyn Norris / Moochie Norris,placed on IL with insomnia
3341,1999-03-05,Knicks,, David Wingate,placed on IL with right knee patellar tendinitis
3343,1999-03-05,Magic,, Danny Schayes,placed on IL with strained left calf
3345,1999-03-08,Bulls,, Charles Jones (Rahmel),placed on IL with strained right calf
3346,1999-03-08,Magic,, Miles Simon,placed on IL with left knee patella tendinitis
3348,1999-03-08,Warriors,, Duane Ferrell,placed on IL with left knee tendinitis
3349,1999-03-09,Bulls,, Rusty LaRue,placed on IL with sprained left ankle
3353,1999-03-10,Clippers,, Brian Skinner,placed on IL with strained left knee
3354,1999-03-10,Clippers,, Sherman Douglas,placed on IL with strained groin
3359,1999-03-11,76ers,, Casey Shaw,placed on IL
3360,1999-03-11,Grizzlies,, Tony Massenburg,placed on IL with sprained left wrist
3362,1999-03-11,Raptors,, Negele Knight,placed on IL with strained lower back
3365,1999-03-12,Blazers,, John Crotty,placed on IL with bruised left quadricep
3367,1999-03-12,Nets,, Eric Murdock,placed on IR with cartilage damage in left knee
3368,1999-03-12,Timberwolves,, Malik Sealy,placed on IL with sprained left ankle
3369,1999-03-13,Hawks,, LaPhonso Ellis,placed on IL with back spasms
3373,1999-03-14,Mavericks,, Robert Pack,placed on IR with partially torn right hamstring
3374,1999-03-14,Pistons,, Charles O'Bannon,placed on IL with right knee tendinitis
3375,1999-03-14,Wizards,, Jahidi White,placed on IL with sprained right knee
3376,1999-03-15,Magic,, Jonathan Kerner,placed on IL with strained lower back
3379,1999-03-16,Pistons,, Korleone Young,placed on IL with back spasms
3380,1999-03-16,Raptors,, Micheal Williams,placed on IR with sore right foot
3382,1999-03-16,Timberwolves,, Anthony Peeler,placed on IL with strained left calf
3385,1999-03-17,Timberwolves,, Trevor Winter,placed on IL with strained lower back
3386,1999-03-18,Bulls,, Andrew Lang,placed on IL with sprained MCL in left knee
3387,1999-03-18,Bulls,, Corey Benjamin,placed on IR with tonsillitis
3391,1999-03-18,Wizards,, Randell Jackson,placed on IL with left patella tendinitis
3392,1999-03-19,Clippers,, Jerome Richardson / Pooh Richardson,placed on IL with sprained left ankle
3394,1999-03-20,Celtics,, Ronald Jones / Popeye Jones,placed on IL with sore left knee
3396,1999-03-20,Grizzlies,, Lee Mayberry,placed on IL with tendinitis in both knees
3398,1999-03-21,Magic,, Charles Outlaw / Bo Outlaw,placed on IL with fractured left fibula
3401,1999-03-22,Bucks,, Sam Cassell,placed on IL with sprained right ankle
3402,1999-03-22,Celtics,, Eric Riley,placed on IL with plantar fasciatis in left foot
3404,1999-03-22,Nets,, Jim McIlvaine,placed on IR with torn cartilage in left shoulder
3405,1999-03-22,Pistons,, Joe Dumars,placed on IL with strained left calf
3407,1999-03-22,Rockets,, Matt Maloney,placed on IR with sore right elbow
3410,1999-03-23,Cavaliers,, Ryan Stack,placed on IL with back spasms
3411,1999-03-23,Clippers,, Sherman Douglas,placed on IL with strained left quadriceps
3412,1999-03-23,Grizzlies,, Doug West,placed on IL with fractured toe on right foot
3413,1999-03-23,Heat,, Marty Conlon,placed on IR with lacerated right pinky finger
3415,1999-03-23,Magic,, Gerald Wilkins,placed on IR with strained calf
3417,1999-03-23,Nets,, Scott Burrell,placed on IL with sprained right ankle
3418,1999-03-23,Sonics,, Vin Baker,placed on IR with partially torn ligament in right thumb
3419,1999-03-25,Bulls,, Ron Harper (Sr.),placed on IR with dislocated right finger & hyperextended right knee
3421,1999-03-26,Grizzlies,, Bryant Reeves,placed on IL with right knee injury
3423,1999-03-26,Sonics,, Don MacLean,placed on IL with lower back pain
3425,1999-03-27,76ers,, Rick Mahorn,placed on IL with plantar fasciatis in right foot
3426,1999-03-28,Suns,, Rex Chapman,placed on IL with turf toe in left foot
3427,1999-03-29,Mavericks,, Bruno Sundov,placed on IR with tendinitis in right hand / wrist injury
3429,1999-03-30,Mavericks,, Robert Pack,torn right hamstring (DNP)
3430,1999-03-31,Pistons,, Charles O'Bannon,placed on IL with right knee tendinitis
3432,1999-04-01,Heat,, Terry Mills,placed on IR with strength deficit in left leg
3434,1999-04-01,Nuggets,, Keon Clark,placed on IR with partially collapsed lung
3435,1999-04-01,Wizards,, Tracy Murray,placed on IL with sprained right big toe
3437,1999-04-02,Celtics,, Bruce Bowen,placed on IL with fractured right index finger
3439,1999-04-02,Hawks,, Steve Smith (Delano),placed on IL with sprained left knee
3440,1999-04-02,Magic,, Nick Anderson,strained left hamstring (DNP)
3441,1999-04-02,Nets,, Jayson Williams,placed on IR with fractured right leg
3443,1999-04-04,Knicks,, Rick Brunson,placed on IR with kidney stones
3445,1999-04-04,Pistons,, Christian Laettner,placed on IL with fractured rib
3447,1999-04-05,Lakers,, Travis Knight,placed on IL with left Achilles tendinitis
3449,1999-04-06,Blazers,, Jermaine O'Neal,placed on IL with bone spurs in left ankle
3450,1999-04-06,Clippers,, Keith Closs,placed on IL with patella tendinitis in right knee
3451,1999-04-06,Nets,, Jayson Williams,placed on IR with fractured leg (out for season) (per Stats)
3453,1999-04-06,Sonics,, Billy Owens,placed on IL with strained left knee
3455,1999-04-07,Rockets,, Brent Price,placed on IL with torn cartilage in right knee
3456,1999-04-07,Spurs,, Andrew Gaze,placed on IL with sprained left ankle
3457,1999-04-07,Suns,, Toby Bailey,placed on IL with right knee tendinitis
3460,1999-04-07,Timberwolves,, Terrell Brandon,placed on IL with bruised right knee / thigh (Stats)
3463,1999-04-08,Sonics,, Drew Barry,placed on IR with back pain
3467,1999-04-09,Bulls,, Brent Barry,placed on IL with sprained right ankle
3469,1999-04-11,Pistons,, Korleone Young,placed on IL with back spasms
3471,1999-04-12,Pacers,, Fred Hoiberg,placed on IL with lower back spasms
3473,1999-04-12,Wizards,, Juwan Howard,placed on IL with sprained left ankle
3475,1999-04-13,76ers,, George Lynch,placed on IR with sprained right MCL
3477,1999-04-13,Blazers,, Brian Shaw,placed on IL with left knee tendinitis
3479,1999-04-13,Heat,, Theodore Edwards / Blue Edwards,placed on IL with plantar fasciatis in left foot
3481,1999-04-14,Blazers,, Carlos Rogers,placed on IL with right knee tendinitis
3483,1999-04-14,Cavaliers,, Derek Anderson,placed on IR with bruising in the medial meniscus in right knee
3485,1999-04-14,Celtics,, Eric Riley,placed on IL with sprained right ankle
3487,1999-04-14,Magic,, Miles Simon,placed on IR with patella tendinitis in left knee
3489,1999-04-14,Wizards,, Terry Davis,placed on IL with bruised right shin (date 04-19 per AP)
3493,1999-04-17,Mavericks,, Robert Pack,placed on IR with torn ligaments in left shoulder (out for season)
3495,1999-04-17,Sonics,, Vladimir Stepania,placed on IL
3498,1999-04-21,Celtics,, Kenny Anderson,placed on IL with strained right hamstring
3500,1999-04-21,Heat,, Rex Walters,placed on IL with right knee patella tendinitis
3502,1999-04-21,Rockets,, Othella Harrington,placed on IR with surgery on left toe
3504,1999-04-21,Timberwolves,, Malik Sealy,placed on IL with sprained left ankle
3505,1999-04-21,Timberwolves,, Reggie Jordan,placed on IL with sprained right ankle
3508,1999-04-23,Bulls,, Charles Jones (Rahmel),placed on IL with sore left knee (per Stats & Bulls media guide)
3510,1999-04-23,Clippers,, Darrick Martin,placed on IR with strained right knee (left knee per Stats)
3512,1999-04-23,Knicks,, Ben Davis,placed on IL with lower back pain
3514,1999-04-24,Blazers,, Bonzi Wells,placed on IR with asthma
3515,1999-04-24,Knicks,, Mirsad Turkcan,placed on IL with strained right groin
3517,1999-04-24,Suns,, Marko Milic,placed on IR with fractured nose
3519,1999-04-25,76ers,, Doug Overton,placed on IL with strained lower back
3520,1999-04-25,Bulls,, Charles Jones (Rahmel),placed on IL with left knee patellar tendinitis
3522,1999-04-26,Cavaliers,, Brevin Knight,placed on IR with fractured left hand
3524,1999-04-27,Nets,, Keith Van Horn,placed on IL with fractured left thumb
3525,1999-04-27,Pistons,, Khalid Reeves,placed on IL with strained lower back (back spasms per Stats)
3527,1999-04-27,Sonics,, Rashard Lewis,placed on IR with back strain
3529,1999-04-28,Suns,, Gerald Brown,placed on IL with left knee tendinitis
3531,1999-04-30,Raptors,, Sean Marks,placed on IL with upper respiratory infection
3533,1999-04-30,Sonics,, James Cotton,placed on IR with gastroenteritis
3535,1999-04-30,Warriors,, Jason Caffey,placed on IL with strained right Achilles tendon
3537,1999-05-01,Bucks,, Dell Curry,placed on IL with lower back spasms
3540,1999-05-01,Timberwolves,, Dennis Scott,placed on IL with right knee tendinitis
3542,1999-05-02,Heat,, Keith Askins,placed on IR with a deep thigh bruise
3543,1999-05-02,Heat,, Marty Conlon,placed on IR with tendinitis in right hand
3546,1999-05-03,Bulls,, Randy Brown,placed on IL with a sprained right ankle
3549,1999-05-04,Bucks,, Glenn Robinson (Jr.),placed on IR with a deep bone bruise in right knee
3550,1999-05-04,Bucks,, Vinny Del Negro,placed on IL with sprained left ankle (out for season)
3552,1999-05-04,Cavaliers,, Corie Blount,underwent surgery on left knee to remove torn cartilage
3553,1999-05-04,Celtics,, Greg Minor,placed on IR with a right hip fracture
3554,1999-05-04,Heat,, Alonzo Mourning,placed on IR with a right hip pointer / slight eye fracture
3555,1999-05-04,Knicks,, Patrick Ewing (Sr.),placed on IR with Achilles tendinitis
3556,1999-05-04,Rockets,, Anthony Miller / Pig Miller,placed on IR with a strained left knee
3558,1999-05-04,Timberwolves,, Bill Curley,placed on IR with a sprained right wrist
3612,1999-05-05,Sonics,, Dale Ellis,placed on IL
3628,1999-05-06,Hornets,, Eddie Jones,"underwent surgery on right hand to repair a flexor tendon, an artery, and a nerve (out 3 months)"
3629,1999-05-11,Clippers,, Michael Olowokandi,underwent arthroscopic surgery on left knee to remove damaged cartilage
3630,1999-05-12,Hawks,, Alan Henderson,double vision (out indefinitely)
3631,1999-05-18,Hornets,, David Wesley,underwent arthroscopic surgery on his left knee to repair damaged cartilage
3632,1999-05-18,Suns,, Rex Chapman,underwent surgery on his right foot to remove a neuroma (entrapment of a nerve)
3633,1999-05-19,Kings,, Corliss Williamson,surgery on right big toe to remove bone spur (out indefinitely)
3634,1999-05-21,Mavericks,, Dirk Nowitzki,underwent minor nasal surgery to clear up sinus trouble
3635,1999-07-06,Knicks,, Charlie Ward,surgery on right knee to remove loose cartilage (out 4-6 weeks)
3636,1999-07-17,Hawks,, Roshown McLeod,partial tear in MCL in right knee (out 6 weeks)
3637,1999-07-30,Kings,, Tariq Abdul-Wahad / Olivier Saint-Jean,arthroscopic surgery on left knee to repair minor cartilage tear (out indefinitely)
3638,1999-09-17,Warriors,, Erick Dampier,arthroscopic surgery on left knee to repair torn cartilage (out at least 2 weeks)
3639,1999-09-21,Timberwolves,, Joe Smith (Leynard),surgery on fractured left foot to insert screw (out indefinitely)
3640,1999-11-01,76ers,, Matt Geiger,placed on IR with left knee surgery
3641,1999-11-01,76ers,, Stanley Roberts,placed on IL with shoulder surgery
3642,1999-11-01,76ers,, Theo Ratliff,placed on IR with stress fracture in left ankle
3643,1999-11-01,Blazers,, Brian Grant,placed on IL recovering from surgery on left knee
3644,1999-11-01,Blazers,, Gary Grant,placed on IL with strained right hamstring
3645,1999-11-01,Blazers,, Nikita Morgunov,placed on IL with sprained right ankle
3646,1999-11-01,Bucks,, Darvin Ham,placed on IR with left foot injury
3647,1999-11-01,Bucks,, Rafer Alston,placed on IL with sprained left ankle
3648,1999-11-01,Bulls,, B.J. Armstrong,placed on IL with arthroscopic surgery on left knee
3649,1999-11-01,Bulls,, Corey Benjamin,placed on IL with sprained right ankle
3650,1999-11-01,Bulls,, Lari Ketner,placed on IL with sprained left wrist
3651,1999-11-01,Cavaliers,, A.J. Bramlett,placed on IR with back strain
3652,1999-11-01,Cavaliers,, Lamond Murray,placed on IL with sprained left knee
3653,1999-11-01,Cavaliers,, Zydrunas Ilgauskas,placed on IL with sore left foot
3654,1999-11-01,Celtics,, Danny Fortson,placed on IL with stress fracture in right foot
3655,1999-11-01,Celtics,, Greg Minor,placed on IL with hip pointer
3656,1999-11-01,Celtics,, Marty Conlon,placed on IR with injured toe
